player_name,player_status,goat_rank_v4,pillar4_volume,pillar4_peak,pillar4_context,pillar4_honors,era_scalar_v4,individual_brilliance_score,peak_year_v4,peak_era_mult_v4,prime_team_win_pct,sc_mult,all_def_1st_v4,all_def_2nd_v4,dpoy
Joel Embiid,active,41,28.56967418258632,85.68224299065419,48.17375843856365,19.215686274509807,0.88,82.15,2022,0.9,0.5245,1.0,0.0,0.0,0.0
Anthony Davis,active,42,37.58302004571074,80.31602921542448,46.64996523451515,16.224598930481285,0.88,76.56,2018,0.9,0.5132727272727272,1.0,0.0,0.0,0.0
Kyrie Irving,active,43,42.93379046926927,76.22357164100511,47.74451307163518,11.254010695187166,0.88,71.05,2018,0.9,0.5388181818181818,1.0,0.0,0.0,0.0
Adrian Dantley,historical,44,34.8197650801816,87.825870688401,44.49783685723419,9.117647058823529,1.0,64.95,1982,1.08,0.5,1.0,0.0,0.0,0.0
Vince Carter,historical,45,62.238887159508366,73.39118801257969,36.17376092317639,4.235294117647059,0.97,68.47,2000,1.0,0.5,1.0,0.0,0.0,0.0
Wes Unseld,historical,46,45.69091512634064,69.74464660691916,44.8706691687231,15.616755793226382,1.0,61.05,1970,1.08,0.5,1.0,0.0,0.0,0.0
Scottie Pippen,historical,47,39.092754084190815,75.39607854104649,34.837468115658574,25.46651941408975,0.97,49.71,1994,1.0,0.6930000000000001,0.95,8.0,2.0,0.0
Carmelo Anthony,historical,48,59.89197594727388,67.08267631244316,37.55199775309656,10.176470588235295,0.88,58.87,2012,0.93,0.5112307692307693,1.0,0.0,0.0,0.0
Allen Iverson,historical,49,40.98582435460674,71.39826422372226,39.80677746887398,20.980392156862745,0.97,60.16,2005,1.0,0.5,1.0,0.0,0.0,0.0
Pau Gasol,historical,50,44.36689446650853,77.02591252186147,41.648954554360316,9.802139037433156,0.88,57.25,2007,1.0,0.5985384615384615,1.0,0.0,0.0,0.0
Elvin Hayes,historical,51,59.77891443337222,64.91796622433253,30.805440511421615,16.106951871657756,1.0,55.74,1975,1.08,0.5,1.0,0.0,0.0,0.0
Paul Pierce,historical,52,46.89774759182568,76.4500618012726,36.788547903032736,10.608300395256917,0.97,60.77,2001,1.0,0.5888181818181818,1.0,0.0,1.0,0.0
Manu Ginobili,historical,53,41.62553360703014,83.08653665916258,34.93818578395139,9.663101604278076,0.88,56.42,2007,1.0,0.6783,0.95,0.0,0.0,0.0
Sidney Moncrief,historical,54,37.505772439391805,80.22806648015418,38.81590685144319,9.205882352941178,1.0,66.69,1982,1.08,0.5,1.0,0.0,0.0,2.0
Dolph Schayes,historical,55,38.406733827887194,64.69422000146771,37.765083219761586,24.577540106951872,1.15,51.01,1953,1.08,0.5,1.0,0.0,0.0,0.0
Dominique Wilkins,historical,56,41.47125182809537,73.15001165166541,38.86392951787134,11.794117647058826,1.0,69.71,1990,1.0,0.5,1.0,0.0,0.0,0.0
Tracy McGrady,historical,57,32.9461313839536,80.47252545878165,40.098302302725095,10.558823529411764,0.97,62.71,2002,1.0,0.5,1.0,0.0,0.0,0.0
Elgin Baylor,historical,58,35.26026523175303,68.82136992685844,34.12259995813244,25.264705882352946,1.15,48.81,1964,1.08,0.5177272727272727,1.0,0.0,0.0,0.0
Chet Walker,historical,59,44.64306091422518,71.09457637505744,46.72596386308746,0.0,1.15,43.56,1971,1.08,0.5787272727272726,1.0,0.0,0.0,0.0
Jack Sikma,historical,60,49.94020104649205,71.75199745594576,40.239600180915815,0.0,1.0,62.8,1983,1.08,0.5,1.0,0.0,0.0,0.0
Alex English,historical,61,35.81768067945369,77.82959239770675,39.72049179188885,8.235294117647058,1.0,61.52,1982,1.08,0.5,1.0,0.0,0.0,0.0
Dave Cowens,historical,62,36.0261869188634,64.91961702713873,35.65992618585329,22.952607920638613,1.0,56.73,1975,1.08,0.5244444444444444,1.0,1.0,0.0,0.0
Paul Arizin,historical,63,40.6501051407854,63.040108637295894,37.68882255106088,17.93048128342246,1.15,50.81,1952,1.08,0.501625,1.0,0.0,0.0,0.0
Bob Cousy,historical,64,30.71141610139187,59.97036859174494,24.66546053164034,42.85739750445633,1.15,26.28,1957,1.08,0.6885454545454546,0.95,0.0,0.0,0.0
Donovan Mitchell,active,65,33.64562866797861,68.37104621226459,51.24038757135351,4.352941176470589,0.88,75.6,2022,0.9,0.5,1.0,0.0,0.0,0.0
Connie Hawkins,historical,66,40.28661504927186,77.37606941045146,39.43570292297706,0.0,1.0,53.44,1968,1.08,0.5,1.0,0.0,0.0,0.0
Dave DeBusschere,historical,67,45.956431132497954,57.091533423542536,42.74679958761939,10.566844919786096,1.15,51.71,1965,1.08,0.5,1.0,0.0,0.0,0.0
Grant Hill,historical,68,40.193224214203774,77.69932239616988,33.19049737188577,5.147058823529411,0.97,70.17,1997,1.0,0.5,1.0,0.0,0.0,0.0
Dikembe Mutombo,historical,69,36.79059094863224,69.46208061216758,35.894867669924324,13.703324808184144,0.97,61.49,1998,1.0,0.5,1.0,2.0,6.0,4.0
Bernard King,historical,70,34.41371166486324,80.52000790510782,33.667456879610754,6.941176470588236,1.0,59.82,1983,1.08,0.5,1.0,0.0,0.0,0.0
Tony Parker,historical,71,47.18163070857628,68.4362321780422,26.36671300646821,12.368983957219251,0.88,33.65,2007,1.0,0.6764545454545454,0.95,0.0,0.0,0.0
Fat Lever,historical,72,42.04414459136516,71.47186669979773,39.42979726485156,0.0,1.0,65.2,1987,1.08,0.5,1.0,0.0,0.0,0.0
Walt Frazier,historical,73,27.375570225071346,73.26614553895712,32.99767528199327,19.245873052778425,1.0,54.11,1970,1.08,0.5,1.0,6.0,1.0,0.0
Bailey Howell,historical,74,45.69647425706428,67.3311005480789,35.93881266016207,0.0,1.15,44.41,1962,1.08,0.5532727272727272,1.0,0.0,0.0,0.0
Dennis Rodman,historical,75,28.457789026791836,68.52146764635071,30.803423394506652,18.207393629388516,0.97,55.49,1988,1.08,0.5098,1.0,7.0,1.0,2.0
Devin Booker,active,76,36.02478465950925,65.61962000979341,38.51210919915353,5.294117647058823,0.88,62.48,2022,0.9,0.5,1.0,0.0,0.0,0.0
Bam Adebayo,active,77,33.476899007992536,67.2204476857389,40.35571121813547,2.9117647058823533,0.88,62.6,2020,0.9,0.5,1.0,0.0,0.0,0.0
Willis Reed,historical,78,20.81423796017496,67.33175098137923,37.369607785428684,18.25311942959002,1.15,51.81,1968,1.08,0.5,1.0,0.0,0.0,0.0
Zion Williamson,active,79,22.469528503198553,75.2975430864854,42.44184772455645,2.1764705882352944,0.88,75.52,2020,0.9,0.5,1.0,0.0,0.0,0.0
Draymond Green,active,80,40.12003314221708,61.82225105455082,27.781546169613904,11.192513368983958,0.88,46.21,2015,0.9,0.635090909090909,1.0,0.0,0.0,1.0
Victor Wembanyama,active,81,18.773709557077474,73.68932926318989,45.35021477303907,2.875959079283888,0.88,50.0,2024,0.9,0.5,1.0,1.0,0.0,1.0
Mark Aguirre,historical,82,37.3820507753523,72.08909622988158,30.934339534365456,0.0,1.0,55.62,1983,1.08,0.5,1.0,0.0,0.0,0.0
David Thompson,historical,83,21.56086157497198,75.57384696792766,35.54956973928908,7.647058823529412,1.0,55.71,1976,1.08,0.5,1.0,0.0,0.0,0.0
James Worthy,historical,84,40.69083156205832,74.4658077050339,24.733627867660662,0.0,1.0,37.9,1986,1.08,0.6613333333333333,0.95,0.0,0.0,0.0
Calvin Murphy,historical,85,40.27482164811066,67.23509648995189,31.622654699470836,0.0,1.0,52.09,1974,1.08,0.5,1.0,0.0,0.0,0.0
Jayson Tatum,active,86,20.429763327586933,68.6736650689079,38.37029933980848,10.989304812834225,0.88,72.18,2023,0.9,0.5,1.0,0.0,0.0,0.0
Jaylen Brown,active,87,33.47852071843978,58.994312785632104,41.30489420933305,3.812834224598931,0.88,59.43,2021,0.9,0.5,1.0,0.0,0.0,0.0
De'Aaron Fox,active,88,35.96772627955183,58.82643192101415,37.32005363622494,0.7352941176470589,0.88,57.62,2023,0.9,0.4842857142857143,1.0,0.0,0.0,0.0
Spencer Haywood,historical,89,38.182154864678346,67.15789924978723,24.281417913026736,0.0,1.0,43.89,1970,1.08,0.5210909090909092,1.0,0.0,0.0,0.0
Evan Mobley,active,90,22.345052827605365,65.30416951520917,40.19906301065846,1.7352941176470589,0.88,65.37,2024,0.9,0.5,1.0,0.0,0.0,1.0
Klay Thompson,active,91,35.7086315303753,60.23031104582171,22.253803844695685,11.398395721925134,0.88,28.97,2015,0.9,0.6910000000000001,0.95,0.0,0.0,0.0
Scottie Barnes,active,92,26.2378290638705,57.930720120130175,42.92427987493663,0.0,0.88,67.85,2024,0.9,0.5,1.0,0.0,0.0,0.0
Pete Maravich,historical,93,29.291609644485114,62.36395476836361,25.938489690854084,9.088235294117647,1.0,44.12,1974,1.08,0.52,1.0,0.0,0.0,0.0
Ja Morant,active,94,17.921888507978572,65.78802294627059,28.30539613709376,3.823529411764706,0.88,57.61,2022,0.9,0.5,1.0,0.0,0.0,0.0
Paolo Banchero,active,95,22.135400529260167,55.81231538118541,32.15435960070889,0.7352941176470589,0.88,50.0,2024,0.9,0.5,1.0,0.0,0.0,0.0
Bob Love,historical,96,31.791413087397746,53.93102690440356,24.051247214139696,0.0,1.0,44.72,1970,1.08,0.5,1.0,0.0,0.0,0.0
Jerry Sloan,historical,97,25.12927175284687,50.36174133817767,27.996689804212963,0.0,1.0,50.96,1967,1.08,0.5,1.0,0.0,0.0,0.0
Bobby Jones,historical,98,6.663567845582413,43.65571979945307,16.71787255914613,0.0,0.97,25.19,2007,1.0,0.5305,1.0,0.0,0.0,0.0
Dennis Johnson,historical,99,1.9981995329198838,0.0,2.31103652273489,11.703208556149733,0.97,0.0,1999,1.0,0.5,1.0,0.0,0.0,1.0
